timestamp,region,region_name,total_generation_mwh,total_co2_kg,carbon_intensity_kg_per_mwh,hour,day_of_week,month,lag_1,lag_24,target_carbon_intensity_24h
2024-01-02 00:00:00,CISO,California Independent System Operator,19732,4149260.0,210.28076221366308,0,1,1,236.79128997261972,266.0083244397012,228.98425343582576
2024-01-02 01:00:00,CISO,California Independent System Operator,18429,3881927.0,210.6423028921808,1,1,1,210.28076221366308,284.90692137020403,236.81386758930242
2024-01-02 02:00:00,CISO,California Independent System Operator,17709,4766326.0,269.1471003444576,2,1,1,210.6423028921808,294.0158457127965,272.56152196724304
2024-01-02 03:00:00,CISO,California Independent System Operator,19440,5384713.0,276.9914094650206,3,1,1,269.1471003444576,276.44232133566663,259.71888511102713
2024-01-02 04:00:00,CISO,California Independent System Operator,19920,5552338.0,278.73182730923696,4,1,1,276.9914094650206,284.7195597453235,261.5485556499575
2024-01-02 05:00:00,CISO,California Independent System Operator,19640,5596185.0,284.9381364562118,5,1,1,278.73182730923696,290.81874298540964,263.0364985547263
2024-01-02 06:00:00,CISO,California Independent System Operator,19036,5669331.0,297.82154864467327,6,1,1,284.9381364562118,303.3355971772696,263.5302918600113
2024-01-02 07:00:00,CISO,California Independent System Operator,18906,5584879.0,295.40246482598116,7,1,1,297.82154864467327,303.67964972601266,288.7790413127969
2024-01-02 08:00:00,CISO,California Independent System Operator,17551,5544285.0,315.8956754600877,8,1,1,295.40246482598116,320.107714620405,309.4950069850468
2024-01-02 09:00:00,CISO,California Independent System Operator,16144,5199215.0,322.0524653121903,9,1,1,315.8956754600877,327.1993363085021,324.1225648021828
2024-01-02 10:00:00,CISO,California Independent System Operator,16327,5364383.0,328.5590126783855,10,1,1,322.0524653121903,325.27929515418504,312.63615998251555
2024-01-02 11:00:00,CISO,California Independent System Operator,16054,5435125.0,338.55269714712847,11,1,1,328.5590126783855,328.90581768774706,319.23047116302575
2024-01-02 12:00:00,CISO,California Independent System Operator,15810,5349369.0,338.35351043643266,12,1,1,338.55269714712847,333.75441525913556,322.76252110298253
2024-01-02 13:00:00,CISO,California Independent System Operator,15965,5350884.0,335.1634199812089,13,1,1,338.35351043643266,334.22324759473787,309.7388232696766
2024-01-02 14:00:00,CISO,California Independent System Operator,16461,5371673.0,326.3272583682644,14,1,1,335.1634199812089,331.16424322538006,293.83698336017176
2024-01-02 15:00:00,CISO,California Independent System Operator,17307,5557032.0,321.0858034321373,15,1,1,326.3272583682644,320.13793771805143,281.80389937754
2024-01-02 16:00:00,CISO,California Independent System Operator,19724,5719274.0,289.96522003650375,16,1,1,321.0858034321373,313.31624517254266,272.39384571482924
2024-01-02 17:00:00,CISO,California Independent System Operator,20724,5710776.0,275.5634047481181,17,1,1,289.96522003650375,294.22850077279753,260.90989423561194
2024-01-02 18:00:00,CISO,California Independent System Operator,22398,5540515.0,247.36650593803017,18,1,1,275.5634047481181,239.3876404494382,236.76873146197826
2024-01-02 19:00:00,CISO,California Independent System Operator,23184,5544557.0,239.15445997239476,19,1,1,247.36650593803017,229.6494942366502,211.43215613382898
2024-01-02 20:00:00,CISO,California Independent System Operator,22522,5621599.0,249.6047864310452,20,1,1,239.15445997239476,241.6442088091354,214.86592438931459
